api,num
CharUpperW,829
CheckADsError,830
CheckColors,831
CheckColorsInGamut,832
CheckDlgButton,833
CheckElevationEnabled,834
CheckEscapesW,835
CheckIISState,836
CheckMemoryGates,837
CheckMenuItem,838
CheckMenuRadioItem,839
CheckNameLegalDOS8Dot3A,840
CheckNameLegalDOS8Dot3W,841
CheckProto,842
CheckRadioButton,843
CheckRemoteDebuggerPresent,844
CheckSumMappedFile,845
CheckTokenCapability,846
CheckTokenMembership,847
CheckWindowThreadDesktop,848
ChildWindowFromPoint,849
ChildWindowFromPointEx,850
Chkdsk,851
ChooseColorA,852
ChooseColorW,853
ChooseFontA,854
ChooseFontW,855
ChoosePixelFormat,856
Chord,857
ChrCmpIA,858
ChrCmpIW,859
CiInitialize,860
CiSvcMain,861
CleanupBatteryData,862
CleanupViewModel,863
CleanupViewModelLayer,864
Clear,865
ClearAutoLogon,866
ClearBitmapAttributes,867
ClearBrushAttributes,868
ClearCommBreak,869
ClearCommError,870
ClearCustData,871
ClearEventLogA,872
ClearEventLogW,873
ClearPersistentIScsiDevices,874
ClfsAddLogContainer,875
ClfsCloseLogFileObject,876
ClfsCreateLogFile,877
ClfsCreateMarshallingArea,878
ClfsDeleteLogByPointer,879
ClfsDeleteMarshallingArea,880
ClfsFlushToLsn,881
ClfsGetLogFileInformation,882
ClfsLsnContainer,883
ClfsLsnDifference,884
ClfsLsnEqual,885
ClfsLsnInvalid,886
ClfsLsnLess,887
ClfsMgmtDeregisterManagedClient,888
ClfsMgmtInstallPolicy,889
ClfsMgmtRegisterManagedClient,890
ClfsReadLogRecord,891
ClfsReadNextLogRecord,892
ClfsReadRestartArea,893
ClfsReserveAndAppendLog,894
ClfsTerminateReadLog,895
ClfsWriteRestartArea,896
ClientToScreen,897
ClipCursor,898
ClipSpInitialize,899
CloseCFGr,900
CloseClipboard,901
CloseCluster,902
CloseClusterGroup,903
CloseClusterNetInterface,904
CloseClusterNode,905
CloseClusterNotifyPort,906
CloseCodeAuthzLevel,907
CloseColorProfile,908
CloseConsoleHandle,909
CloseDataContentHandle,910
CloseDesktop,911
CloseDriver,912
CloseEncryptedFileRaw,913
CloseEnhMetaFile,914
CloseEventLog,915
CloseFigure,916
CloseFindContext,917
CloseHandle,918
CloseMetaFile,919
CloseOSObject,920
ClosePopupTipbar,921
ClosePr,922
ClosePrinter,923
ClosePrivateNamespace,924
CloseProfileUserMapping,925
CloseRASConnections,926
CloseServiceHandle,927
CloseSpoolFileHandle,928
CloseState,929
CloseThemeData,930
